,head0,head1,head2,head3,head4,head5,head6,head7,head8,head9,head10,head11
layer0,0.039,-0.063,-0.038,0.21,-0.348,-0.229,-0.125,0.156,0.042,-0.032,-0.072,0.017
layer1,-0.246,0.159,-0.021,-0.338,0.323,-0.01,0.104,-0.341,-0.391,-0.441,0.047,0.041
layer2,-0.017,-0.114,0.011,-0.553,0.051,0.104,0.086,-0.128,0.67,0.04,0.0,-0.221
layer3,-0.019,-0.264,0.177,-0.343,-0.322,0.032,0.018,-0.023,-0.11,-0.083,-0.324,-0.443
layer4,-0.503,0.31,-0.327,-0.113,0.312,0.153,-0.494,0.133,-0.499,-0.495,-0.074,-0.054
layer5,-0.021,0.179,-0.301,0.576,-0.214,0.341,0.377,0.354,-0.174,-0.302,-0.125,0.556
layer6,0.246,0.02,-0.474,0.13,-0.434,0.067,-0.236,-0.269,0.37,-0.008,-0.269,-0.239
layer7,-0.207,0.094,0.105,0.252,-0.043,-0.486,-0.078,-0.173,0.212,-0.182,0.035,0.121
layer8,-0.28,-0.128,-0.04,0.232,-0.123,-0.15,0.232,-0.397,-0.474,-0.272,-0.289,0.037
layer9,-0.291,-0.369,-0.254,-0.427,-0.373,-0.497,-0.681,-0.335,0.062,-0.407,-0.495,-0.711
layer10,0.16,-0.247,-0.37,-0.606,-0.466,-0.362,-0.733,-0.483,-0.078,-0.48,0.252,-0.434
layer11,-0.193,-0.251,0.159,-0.366,-0.057,-0.197,0.177,-0.022,0.269,-0.008,0.076,-0.561
